des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 AV2,5,2460310.615842176,2024-Jan-01 02:47,0.00970760732406278,0.00970619652786134,0.00970901812278987,8.06348406776793,8.02937286748215,00:01,26.62
2023 YR1,3,2460310.616812813,2024-Jan-01 02:48,0.0166083198176225,0.0165611967936258,0.0166554423575832,13.2957757989171,13.2837040505094,< 00:01,25.68
2024 AA6,1,2460311.020809845,2024-Jan-01 12:30,0.0491415516379195,0.0489257918149484,0.0493573074206694,7.12433938883838,7.11672471955787,< 00:01,25.12
2023 YY1,4,2460311.339342679,2024-Jan-01 20:09,0.0271321168847435,0.0270725303526498,0.0271917021856934,6.47607944632333,6.46089755539242,< 00:01,25.77
2023 YR,10,2460311.637456039,2024-Jan-02 03:18,0.0115640803252806,0.0115343642087544,0.0115937959690394,12.2195715368304,12.2007011525797,< 00:01,24.90
2024 AQ1,6,2460311.874277011,2024-Jan-02 08:59,0.0438286897610599,0.0435625994492978,0.0440947784451312,15.4695451409642,15.4656147884953,< 00:01,23.72
2011 YP10,8,2460312.040795492,2024-Jan-02 12:59,0.0704899553763525,0.0704862165867925,0.127231279611329,5.80700232178114,5.80048938691827,18:04,23.94
2024 AA,2,2460312.193898032,2024-Jan-02 16:39,0.00408142072236893,0.00407403305747552,0.004088808316099,21.4321092699058,21.4016271598109,< 00:01,27.41
2024 AR3,6,2460312.252154850,2024-Jan-02 18:03,0.0526643223585359,0.052234552575611,0.0530940884367002,13.0433070530676,13.0394275801073,00:01,23.60
2019 KK5,14,2460312.389596858,2024-Jan-02 21:21,0.0260972744624454,0.0260970635416402,0.026097485383252,20.8331302779033,20.8282289499287,< 00:01,22.79
2024 AH3,10,2460312.621947890,2024-Jan-03 02:56,0.0179963636732496,0.0179638517921638,0.0180288751729325,9.88369042037517,9.86869916685108,< 00:01,25.67
2024 AM3,1,2460312.906428945,2024-Jan-03 09:45,0.0179149084472961,0.0165317608078098,0.0192982987425604,9.63913243614106,9.62369028383241,08:39,26.60
2024 AS,7,2460312.917638858,2024-Jan-03 10:01,0.0621231268730264,0.0619864451447602,0.0622598076574173,7.39469742981795,7.38889501111836,< 00:01,25.21
2024 AA3,3,2460313.075971484,2024-Jan-03 13:49,0.034807715689713,0.0345070713390113,0.035108353140143,10.7365146763029,10.7293825703985,< 00:01,25.76
2023 XX12,5,2460314.150993945,2024-Jan-04 15:37,0.0567769187538439,0.056650118237121,0.056903718171765,6.91350629045471,6.90671494945939,< 00:01,24.68
2024 AD,3,2460314.260323346,2024-Jan-04 18:15,0.00162218850814781,0.00162105795739195,0.00162331900797615,9.90042105628957,9.73310301463421,< 00:01,28.76
