"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 OQ3)","2023-Aug-01 06:46 ± < 00:01","0.01007","0.01006","9.78","9.75","25.1","26 m -   57 m","1"
"(2023 QR2)","2023-Aug-01 12:07 ±    01:39","0.01994","0.01956","7.29","7.27","25.9","17 m -   39 m","0"
"(2023 OD5)","2023-Aug-01 17:19 ± < 00:01","0.03544","0.03525","18.22","18.21","24.2","39 m -   86 m","0"
"(2023 OS3)","2023-Aug-01 20:49 ± < 00:01","0.00643","0.00642","4.82","4.73","27.7","7.5 m -   17 m","0"
"(2006 SY5)","2023-Aug-02 04:47 ± < 00:01","0.18451","0.18451","5.33","5.33","22.0","110 m -  240 m","0"
"(2018 MC7)","2023-Aug-02 08:27 ±    02:51","0.18836","0.18705","9.98","9.98","26.2","15 m -   34 m","0"
"(2023 OF1)","2023-Aug-02 10:25 ± < 00:01","0.04543","0.04511","10.73","10.73","24.9","28 m -   63 m","0"
"(2023 QM1)","2023-Aug-02 16:48 ±    00:10","0.04872","0.04833","7.59","7.58","25.5","21 m -   47 m","0"
"(2023 PH)","2023-Aug-02 17:35 ± < 00:01","0.15258","0.15245","18.24","18.24","21.6","130 m -  290 m","0"
"510190 (2011 CX7)","2023-Aug-02 19:06 ± < 00:01","0.14940","0.14940","9.23","9.23","20.5","220 m -  480 m","0"
"(2023 OY4)","2023-Aug-02 19:48 ± < 00:01","0.00815","0.00812","17.64","17.62","25.3","23 m -   52 m","1"
"154993 (2005 EA94)","2023-Aug-03 02:50 ± < 00:01","0.09663","0.09663","19.43","19.43","18.0","0.828±0.050 km","1"
"(2023 OW4)","2023-Aug-03 04:13 ±    00:05","0.00378","0.00377","9.68","9.61","27.8","7.4 m -   17 m","0"
"(2020 PN1)","2023-Aug-03 13:02 ± < 00:01","0.02776","0.02776","4.84","4.82","25.4","22 m -   48 m","0"
"(2023 QU3)","2023-Aug-03 17:28 ±    00:10","0.10357","0.10219","8.88","8.87","24.4","36 m -   80 m","0"
"(2023 YT)","2023-Aug-03 19:32 ±    01:02","0.12635","0.12617","4.66","4.66","26.2","15 m -   34 m","0"
"(2023 PY)","2023-Aug-03 20:01 ± < 00:01","0.11917","0.11911","11.25","11.25","22.4","86 m -  190 m","0"
